Song Name,song Artist,Rank_class,URI,Source,Peak Rank_class,Previous Rank_class,Weeks on Chart_class,Streams_class,next rank_class,Top 10 Count_class,Top 100 Count_class,times popular_class,now popular,language
"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)","Kendrick Lamar, Dody6",3,spotify:track:5S8VwnB4sLi6W0lYTWYylu,"pgLang, under exclusive license to Interscope Records",1,3,1,1,3,1,1,1,0,1
gloria (with sza),"Kendrick Lamar, Dody6",3,spotify:track:5S8VwnB4sLi6W0lYTWYylu,"pgLang, under exclusive license to Interscope Records",1,3,1,1,3,1,1,1,0,1
"gnx (feat. hitta j3, youngthreat, peysoh)","Kendrick Lamar, Dody6",3,spotify:track:5S8VwnB4sLi6W0lYTWYylu,"pgLang, under exclusive license to Interscope Records",1,3,1,1,3,1,1,1,0,1
יש לי חור בלב בצורה שלך,"Girafot, אלמוג",3,spotify:track:0tx3OWVFMJ5GgrGa9QGFaQ,Universal Music Israel Distributed Labels,2,2,2,1,3,1,1,1,0,0
(Sittin' On) the Dock of the Bay,Otis Redding,2,spotify:track:3zBhihYUHBmGd2bcQIobrF,Rhino Atlantic,0,1,1,1,2,1,1,1,0,1
רונדלים,Static,2,spotify:track:3Au0H4VhjcXZ5HGOHo8Nc3,Mobile1 Music,3,1,1,1,2,1,3,1,0,0
מדליקה לי הכל,Eden Hason,2,spotify:track:7rNA5Jwu23g7PaXcMwfLdq,Mobile1 Music,3,0,2,1,1,1,1,1,0,0
St. Chroma (feat. Daniel Caesar),"Tyler, The Creator, Daniel Caesar",1,spotify:track:1QoyuMHNBe7lg3YW4Qtll4,Columbia,2,2,1,1,0,1,1,1,0,1
The Emptiness Machine,"Tyler, The Creator, Daniel Caesar",1,spotify:track:1QoyuMHNBe7lg3YW4Qtll4,Columbia,2,2,1,1,2,1,1,1,0,1
מגדלים - לייב מבריכת הסולטן,"Tyler, The Creator, Daniel Caesar",1,spotify:track:1QoyuMHNBe7lg3YW4Qtll4,Columbia,2,2,1,1,2,1,1,1,0,0
חרבו דרבו,"STILLA, Ness",2,spotify:track:6IVIMUcrykPBQqWVA0g7zw,2023 Maman Productions & Va’ad Ha Bait Records by PIL ltd,3,1,1,1,2,1,1,1,0,0
לילה טוב,Odeya,1,spotify:track:1WqRnSjBc7L2DnLzsNvqOm,Helicon Aroma Music Ltd.,2,0,1,1,1,1,1,1,0,0
עכשיו התור לאהבה,Omer Adam,0,spotify:track:49pn67BTjYDLqzDkOFrm1E,P.A.I LTD,1,1,1,1,0,1,1,1,0,0
עוד יום,Omer Adam,0,spotify:track:49pn67BTjYDLqzDkOFrm1E,P.A.I LTD,1,1,1,1,0,1,1,1,0,0
תראי אהובתי,Osher Cohen,2,spotify:track:6uCZdJ3p3hrfi6mRKVtt7k,Helicon Aroma Music Ltd./ P.A.I Production Adam Investment Ltd.,3,1,1,1,2,1,2,1,0,0
ניצחונות קטנים,Nathan Goshen,0,spotify:track:66LQkHS38PqBwy97zJZuGY,Nathan Goshen under exclusive license to D-Music,0,0,1,1,2,1,1,1,0,0
חומר ממכר,Ben Chen,1,spotify:track:2vR9gmLutur2qzskoEcYna,Helicon Music,2,1,1,1,1,1,1,1,0,0
עטלף,Static,2,spotify:track:196lkHGqjAKd2gwAGGt9XG,Mobile1 Music,0,3,1,1,1,1,1,1,0,0
לך אלי,Static,2,spotify:track:196lkHGqjAKd2gwAGGt9XG,Mobile1 Music,0,3,1,1,1,1,1,1,0,0
גשם,Static,2,spotify:track:196lkHGqjAKd2gwAGGt9XG,Mobile1 Music,0,3,1,1,0,1,1,1,0,0
שכחתי מזמן,Eyal Golan,1,spotify:track:1wvwnZRwqofa1YDTNyOm07,Liam Productions under exclusive license to D-Music,2,1,1,1,0,1,1,1,0,0
סיגליות,"Omer Adam, David Broza",0,spotify:track:3Q6d64XJr20cHQtRd07YGj,P.A.I LTD,2,0,1,1,0,1,1,1,0,0
"Darling, I (feat. Teezo Touchdown)","Tyler, The Creator, Teezo Touchdown",3,spotify:track:0VaeksJaXy5R1nvcTMh3Xk,Columbia,1,3,1,1,2,1,1,1,0,1
